"Investment Type ID","Investment Type","Quarter ID","Quarter_","Time ID","Investment (USD)"
1,"Cuentas entre Compañías",19991,"1999-T1",917848800000,-1259606.957435608
1,"Cuentas entre Compañías",19992,"1999-T2",925534800000,11541111.946105957
1,"Cuentas entre Compañías",19993,"1999-T3",933483600000,2823124.885559082
1,"Cuentas entre Compañías",19994,"1999-T4",941436000000,18670618.057250977
1,"Cuentas entre Compañías",20001,"2000-T1",949384800000,-36271125.79345703
1,"Cuentas entre Compañías",20002,"2000-T2",957157200000,9699474.334716797
1,"Cuentas entre Compañías",20003,"2000-T3",965106000000,-123246543.88427734
1,"Cuentas entre Compañías",20004,"2000-T4",973058400000,275701263.4277344
1,"Cuentas entre Compañías",20011,"2001-T1",981007200000,-68876701.35498047
1,"Cuentas entre Compañías",20012,"2001-T2",988696800000,-32166900.634765625
1,"Cuentas entre Compañías",20013,"2001-T3",996642000000,18376144.409179688
1,"Cuentas entre Compañías",20014,"2001-T4",1004594400000,41742691.04003906
1,"Cuentas entre Compañías",20021,"2002-T1",1012543200000,178517547.60742188
1,"Cuentas entre Compañías",20022,"2002-T2",1020229200000,-115472976.68457031
1,"Cuentas entre Compañías",20023,"2002-T3",1028178000000,137285308.83789062
1,"Cuentas entre Compañías",20024,"2002-T4",1036130400000,95078483.58154297
1,"Cuentas entre Compañías",20031,"2003-T1",1044079200000,-30658496.856689453
1,"Cuentas entre Compañías",20032,"2003-T2",1051765200000,-35677791.595458984
1,"Cuentas entre Compañías",20033,"2003-T3",1059714000000,82721481.32324219
1,"Cuentas entre Compañías",20034,"2003-T4",1067666400000,100880882.2631836
1,"Cuentas entre Compañías",20041,"2004-T1",1075615200000,-44595802.307128906
1,"Cuentas entre Compañías",20042,"2004-T2",1083387600000,30305234.909057617
1,"Cuentas entre Compañías",20043,"2004-T3",1091336400000,70452575.68359375
1,"Cuentas entre Compañías",20044,"2004-T4",1099288800000,18510705.947875977
1,"Cuentas entre Compañías",20051,"2005-T1",1107237600000,116844276.42822266
1,"Cuentas entre Compañías",20052,"2005-T2",1114923600000,-25488492.965698242
1,"Cuentas entre Compañías",20053,"2005-T3",1122872400000,222114425.6591797
1,"Cuentas entre Compañías",20054,"2005-T4",1130824800000,95679115.29541016
1,"Cuentas entre Compañías",20061,"2006-T1",1138773600000,1436746.9549179077
1,"Cuentas entre Compañías",20062,"2006-T2",1146459600000,-5849881.172180176
1,"Cuentas entre Compañías",20063,"2006-T3",1154408400000,-4230064.868927002
1,"Cuentas entre Compañías",20064,"2006-T4",1162360800000,-11079545.974731445
1,"Cuentas entre Compañías",20071,"2007-T1",1170309600000,8764192.581176758
1,"Cuentas entre Compañías",20072,"2007-T2",1177995600000,-2850585.9375
1,"Cuentas entre Compañías",20073,"2007-T3",1185944400000,7836401.93939209
